ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2023-04-07,133735.46831455754,55323.52119834732,214558.79440212515,101186.77265580923,0.31256309396497867,0.00910637729549903
2023-04-08,19777.81355569006,0.0,103990.60381145905,101201.40249428761,-0.8075477062308409,0.002977938107384639
2023-04-09,44502.22733750257,0.0,125675.69007413015,101216.03233276599,-0.5569768509344227,-0.0033474740579514124
2023-04-10,143204.2351473297,69428.89295990267,220323.37661917583,101230.66217124434,0.4243581826682119,-0.009725184366948495
2023-04-11,108965.01386704331,22552.80849065428,184032.6837550469,101245.29200972272,0.09225433565071689,-0.016006623741512627
2023-04-12,116987.16825658444,42231.672249428775,188137.73061423987,101259.92184820108,0.1773582548809002,-0.022042646085940844
2023-04-13,134725.92083120323,59389.538352207215,206593.28854401637,101274.55168667945,0.3579906900000146,-0.02768689119362986
2023-04-14,129626.2468303761,47992.19192768943,202556.3492312816,101289.1815249438,0.3125630939641065,-0.03279910654898525
2023-04-15,15722.751823856062,0.0,94945.48560345841,101303.81136320815,-0.807547706232092,-0.03724834228493044
2023-04-16,40740.87592230366,0.0,125240.00780285767,101318.4412014725,-0.5569768509340047,-0.04091593700091696
2023-04-17,139906.51429305752,65280.0234743361,223187.48545179862,101333.07103973684,0.42435818266784386,-0.04369821788502927
2023-04-18,106085.24873572141,32854.737840275615,184475.15396698075,101347.7008780012,0.09225433565271679,-0.045508846444006254
2023-04-19,114648.65202489404,37336.08987175238,189254.6683463827,101362.33071626554,0.17735825488110807,-0.04628075089375689
2023-04-20,133008.91328364925,51456.81135263019,207963.91518219042,101376.96055452988,0.35799068999996286,-0.045967597611976094
2023-04-21,128566.39485142377,48739.672169564874,208445.77721923264,101391.59039279424,0.31256309396404963,-0.04454476667128811
2023-04-22,15255.80364244019,0.0,92997.20509512331,101406.22023105859,-0.8075477062312137,-0.04200980998742491
2023-04-23,41039.0103005354,0.0,118460.54157406632,101420.85006932294,-0.5569768509372721,-0.038382384639194515
2023-04-24,141061.70807708814,66442.00825389376,222341.50620784008,101435.47990758729,0.42435818266932207,-0.03370366803990171
2023-04-25,107965.14045026006,29299.646445160502,184034.26483393632,101450.10974585163,0.09225433565224156,-0.02803527545871778
2023-04-26,117283.14741550983,41262.96099740815,197758.44540209102,101464.73958411599,0.17735825488027956,-0.021457713507676966
2023-04-27,136380.38499356795,58524.82169751021,213489.08390493866,101479.36942238032,0.3579906900003158,-0.014068415257735976
2023-04-28,132610.4031208565,51351.41113346331,204963.49063477444,101493.99926064468,0.31256309396399284,-0.005979413284483877
2023-04-29,19808.148017370997,0.0,94960.79683896228,101508.62909890903,-0.8075477062301033,0.0026852841208472224
2023-04-30,46174.37110636208,0.0,124627.93297594327,101523.25893717339,-0.556976850936854,0.011792541348610883
2023-05-01,146779.23986331924,73254.15831325157,224475.98757298643,101537.88877543772,0.4243581826689541,0.021203091388435222
2023-05-02,114046.41684678348,36217.000584660556,195060.15891681422,101552.51861370208,0.09225433565232655,0.03077459955909067
2023-05-03,123680.64965760442,50595.465850589186,198699.44540884552,101567.14845196644,0.17735825488048745,0.040364715023467224
2023-05-04,143009.33878351716,62429.289005699604,219340.46255807002,101581.77829023077,0.35799068999923256,0.049834032018559876
2023-05-05,139350.8505997408,62463.06720413566,218353.45495997503,101596.40812849512,0.3125630939623053,0.05904888688149908
2023-05-06,26453.033221720187,0.0,106377.58968085889,101611.03796675948,-0.8075477062302898,0.067883923151663
2023-05-07,52768.8753790584,0.0,131169.35756063907,101625.66780502381,-0.5569768509353327,0.07622436506039909
2023-05-08,153306.71699949453,78079.6658207259,230699.58624618722,101640.29764328817,0.42435818266950914,0.08396794932916235
2023-05-09,120286.32510621785,42595.779617469794,198564.50134047217,101654.92748155253,0.09225433565241162,0.09102647607259186
2023-05-10,129596.68064549487,49256.38734656478,203677.96837678982,101669.55731981687,0.1773582548806088,0.09732695140812361
2023-05-11,148540.5653213922,73117.68868417628,228993.8462023284,101684.18715808121,0.35799068999958533,0.1028123067384099
